,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,total_overs_bowled,total_wickets,total_runs_given,highest_runs_given,total_orangecaps,total_purplecaps,total_player_of_series,batting_average,strike_rate
215,216,EJG Morgan,10-Sep-86,Left_Hand,Right-arm medium,England,48,789,0,4,66,32,287,663,9,66,31,0,0,0,0,0,0,0,25.451612903225808,119.00452488687783
216,217,JM Kemp,2-Oct-77,Right_Hand,Right-arm fast-medium,South Africa,5,26,0,0,1,1,11,25,3,22,2,9,3,51,14,0,0,0,13.0,104.0
217,218,S Tyagi,17-Sep-87,Right_Hand,Right-arm medium,India,14,3,0,0,0,0,1,4,13,3,1,35,6,284,43,0,0,0,3.0,75.0
218,219,RS Gavaskar,20-Feb-76,Left_Hand,Slow left-arm orthodox,India,2,2,0,0,0,0,6,8,1,2,1,1,0,8,8,0,0,0,2.0,25.0
219,220,SE Bond,7-Jun-75,Right_Hand,Right-arm fast,New Zealand,8,1,0,0,0,0,1,2,7,1,1,31,9,218,33,0,0,0,1.0,50.0
220,221,KA Pollard,12-May-87,Right_Hand,Right-arm medium-fast,West Indies,106,1959,0,9,131,125,543,1380,13,78,57,200,37,1659,45,0,0,0,34.36842105263158,141.95652173913044
221,222,S Ladda,10-Jul-86,Right_Hand,Legbreak,India,9,0,0,0,0,0,10,10,9,0,1,23,5,221,44,0,0,0,0.0,0.0
222,223,DP Nannes,16-May-76,Right_Hand,Left-arm fast,Australia,29,4,0,0,0,0,9,13,27,3,1,109,24,734,48,0,0,0,4.0,30.76923076923077
223,224,MJ Lumb,12-Feb-80,Left_Hand,Right-arm medium,England,12,278,0,1,45,6,96,198,3,83,12,0,0,0,0,0,0,0,23.166666666666668,140.40404040404042
224,225,DR Martyn,21-Oct-71,Right_Hand,Right-arm medium,Australia,1,19,0,0,1,0,10,26,0,19,1,0,0,0,0,0,0,0,19.0,73.07692307692308
225,226,S Narwal,16-Apr-82,Left_Hand,Right-arm medium,India,7,37,0,0,6,0,12,29,4,23,3,18,5,195,48,0,0,0,12.333333333333334,127.58620689655173
226,227,AB Barath,14-Apr-90,Right_Hand,Right-arm offbreak,India,3,42,0,0,5,1,22,43,0,33,2,0,0,0,0,0,0,0,21.0,97.67441860465117
227,228,Bipul Sharma,28-Sep-83,Left_Hand,Slow left-arm orthodox,India,26,156,0,0,9,8,24,99,12,35,4,55,14,430,40,0,0,0,39.0,157.57575757575756
228,229,FY Fazal,7-Sep-85,Left_Hand,Right-arm medium,India,12,183,0,0,22,1,74,179,2,45,10,2,0,20,14,0,0,0,18.3,102.23463687150839
229,230,AC Voges,4-Oct-79,Right_Hand,Slow left-arm orthodox,Australia,9,181,0,0,15,3,44,143,2,45,4,9,0,74,17,0,0,0,45.25,126.57342657342657
230,231,MD Mishra,9-Feb-84,Right_Hand,Right-arm offbreak,India,18,237,0,0,24,8,102,213,2,41,15,0,0,0,0,0,0,0,15.8,111.26760563380282
231,232,UT Yadav,25-Oct-87,Right_Hand,Right-arm fast-medium,India,88,133,0,0,13,5,56,121,67,24,9,275,48,2222,64,0,0,0,14.777777777777779,109.91735537190083
232,233,J Theron,24-Jul-85,Right_Hand,Right-arm medium-fast,South Africa,10,10,0,0,1,0,6,13,7,7,2,37,9,288,42,0,0,0,5.0,76.92307692307692
233,234,SJ Srivastava,22-Sep-81,Right_Hand,Left-arm fast-medium,India,14,5,0,0,0,0,1,5,11,3,1,47,14,409,46,0,0,0,5.0,100.0
234,235,R Sharma,30-Apr-87,Right_Hand,Right-arm offbreak,India,44,66,0,0,5,3,48,77,35,14,7,155,24,1079,42,0,0,0,9.428571428571429,85.71428571428571
235,236,Mandeep Singh,18-Dec-91,Right_Hand,Right-arm medium,India,59,924,0,4,113,14,313,760,17,77,24,0,0,0,0,0,0,0,38.5,121.57894736842105
236,237,KM Jadhav,26-Mar-85,Right_Hand,Right-arm offbreak,India,51,626,0,2,47,23,159,490,12,63,24,0,0,0,0,0,0,0,26.083333333333332,127.75510204081633
237,238,SW Tait,22-Feb-83,Right_Hand,Right-arm fast,Australia,21,23,0,0,1,1,11,26,17,11,2,81,16,557,46,0,0,0,11.5,88.46153846153847
238,239,KB Arun Karthik,15-Feb-86,Right_Hand,Legbreak googly,India,17,51,0,0,4,1,24,53,10,19,3,0,0,0,0,0,0,0,17.0,96.22641509433963
239,240,KAJ Roach,30-Jun-88,Right_Hand,Right-arm fast,West Indies,2,10,0,0,1,0,3,9,1,10,1,8,0,76,46,0,0,0,10.0,111.11111111111111
240,241,PD Collingwood,26-May-76,Right_Hand,Right-arm medium,England,8,203,0,3,9,13,60,159,1,75,5,15,5,100,27,0,0,0,40.6,127.67295597484276
241,242,CK Langeveldt,17-Dec-74,Right_Hand,Right-arm fast-medium,England,7,8,0,0,0,1,6,9,6,8,2,26,13,178,45,0,0,0,4.0,88.88888888888889
242,243,VS Malik,9-May-83,Right_Hand,Right-arm medium,India,13,7,0,0,1,0,3,7,11,6,1,35,6,254,28,0,0,0,7.0,100.0
243,244,A Mithun,25-Oct-89,Right_Hand,Right-arm medium,India,16,34,0,0,4,1,11,26,11,11,5,48,7,448,39,0,0,0,6.8,130.76923076923077
244,245,AP Dole,9-Oct-87,Right_Hand,Right-arm medium-fast,India,3,34,0,0,3,1,7,23,1,30,2,11,5,105,40,0,0,0,17.0,147.82608695652175
245,246,AN Ahmed,5-Nov-88,Right_Hand,Right-arm medium-fast,India,17,36,0,0,4,1,11,27,11,18,1,58,12,467,58,0,0,0,36.0,133.33333333333334
246,247,RS Sodhi,18-Oct-80,Right_Hand,Right-arm medium,India,3,4,0,0,1,0,1,2,2,4,0,0,0,0,0,0,0,0,0.0,200.0
247,248,DE Bollinger,24-Jul-81,Left_Hand,Left-arm fast-medium,Australia,27,21,0,0,1,1,11,23,24,16,1,97,30,663,38,0,0,0,21.0,91.30434782608695
